VertexNo,GraphNo,Eigens/Linear,Squared Eigens/Linear,Eigens Ave,Sq. Eigens Ave
3,1,0,0,0,8.44E-31
3,2,0,3.94E-31,,
3,3,0,2.98E-30,,
3,4,0,0,,
4,1,3.99E-31,0.88889,2.03E-01,21.481858
4,2,0.0094325,6.4892,,
4,4,0.22222,0.88889,,
4,5,0.10347,2.3195,,
4,8,0.11506,30.864,,
4,9,0.75426,42.913,,
4,12,0.0097157,9.9701,,
4,14,1.59E-30,14.222,,
4,16,0.055556,12.5,,
4,21,0.76393,93.763,,
5,6,0.014059,7.4569,0.14072,25.06035455
5,11,0.05,4.05,,
5,20,0.069217,13.414,,
5,21,0.17571,26.049,,
5,27,0.20222,15.983,,
5,32,0.2,13.8,,
5,45,0.022198,15.565,,
5,48,0.19468,43.611,,
5,62,0.2816,47.59,,
5,64,0.32709,67.432,,
5,96,0.011146,20.713,,
6,41,0.21358,21.129,0.200155824,30.04827059
6,44,0.14471,23.053,,
6,57,0.015171,9.8316,,
6,91,0.4017,30.982,,
6,101,0.093651,10.605,,
6,109,0.54,25.5,,
6,153,0.27011,28.257,,
6,198,0.19401,28.985,,
6,226,0.022457,17.401,,
6,257,0.17234,32.592,,
6,263,0.040835,19.129,,
6,303,0.46508,20.451,,
6,311,0.15657,53.848,,
6,369,0.40415,66.607,,
6,372,0.14141,46.562,,
6,412,0.1039,51.378,,
6,460,0.022975,24.51,,
7,222,0.17034,14.152,0.215567889,41.36594444
7,581,0.40806,59.226,,
7,628,0.33503,51.148,,
7,934,0.41546,68.36,,
7,1119,0.14448,15.203,,
7,1192,0.1811,29.766,,
7,1219,0.31013,48.218,,
7,1235,0.11362,32.498,,
7,1311,0.20449,36.894,,
7,1329,0.29872,34.267,,
7,1714,0.074325,27.434,,
7,1928,0.14848,56.695,,
7,1949,0.36822,41.102,,
7,2019,0.19726,48.384,,
7,2244,0.08278,42.723,,
7,2314,0.033307,27.021,,
7,2329,0.27302,77.086,,
7,2550,0.1214,34.41,,
8,721,0.072695,18.958,0.141243538,30.21919231
8,2817,0.13687,22.38,,
8,4616,0.10196,18.328,,
8,4760,0.27351,45.998,,
8,5260,0.14652,10.007,,
8,5491,0.13164,22.309,,
8,7748,0.17128,41.521,,
8,7922,0.36346,74.32,,
8,7933,0.15055,27.693,,
8,8221,0.054949,31.223,,
8,8230,0.092644,40.077,,
8,12185,0.010488,1.8005,,
8,14143,0.1296,38.235,,
9,3051,0.20402,31.528,0.141672438,31.3560625
9,3854,0.13525,17.627,,
9,4495,0.28363,39.293,,
9,18405,0.075899,28.062,,
9,19203,0.16598,17,,
9,20559,0.13391,41.022,,
9,20569,0.12948,44.574,,
9,20790,0.22614,51.081,,
9,21508,0.11935,32.549,,
9,35189,0.2031,51.736,,
9,35458,0.0517,31.758,,
9,38596,0.03358,19.116,,
9,38598,0.14949,25.57,,
9,38599,0.13763,29.084,,
9,49214,0.10186,23.681,,
9,86359,0.11574,18.016,,
AVERAGE,,0.168172587,29.66782674,,
