VertexNo,GraphNo,Eigens/Linear,Squared Eigens/Linear,Eigens Ave,Sq. Eigens Ave
3,5,0,0,0,0
3,6,0,0,,
3,8,0,0,,
4,10,0.055556,0.055556,0.151026,13.99730171
4,15,0.22222,22.222,,
4,19,0.22222,8,,
4,20,0.27941,22.092,,
4,25,2.17E-30,2,,
4,27,0.055556,0.055556,,
4,29,0.22222,43.556,,
5,2,0.25,6.25,0.248482333,21.25331111
5,4,0.055584,6.8645,,
5,35,0.45,19.05,,
5,46,0.02918,5.8675,,
5,52,0.070018,18.161,,
5,68,0.056479,8.5748,,
5,71,0.65,25.85,,
5,94,0.41115,73.692,,
5,97,0.26393,26.97,,
6,36,0.3003,11.137,0.349946,29.451
6,163,0.72,64.08,,
6,236,0.31627,10.811,,
6,251,0.23877,38.582,,
6,281,0.17439,22.645,,
7,729,0.09201,22.232,0.128296667,19.89433333
7,1141,0.2104,6.342,,
7,1341,0.08248,31.109,,
8,3248,0.0055913,11.164,0.0055913,11.164
9,38597,0.33612,36.116,0.33612,36.116
AVERAGE,,0.198960493,18.74065214,,
