VertexNo,GraphNo,Eigens/Linear,Squared Eigens/Linear,Eigens Ave,Sq. Eigens Ave
3,1,0,0,0,0
4,1,3.99E-31,0.88889,2.50E-01,6.694445
4,2,0.5,12.5,,
5,1,0.0027864,1.2946,0.0612132,4.7549
5,2,0.11964,8.2152,,
6,1,0.0057437,1.5319,0.062368567,5.485966667
6,2,0.087462,6.885,,
6,3,0.0939,8.041,,
7,1,0.0083268,1.6888,0.18167935,12.681
7,2,0.095562,6.1781,,
7,3,0.044536,6.4694,,
7,4,0.25945,11.961,,
7,5,0.40116,26.348,,
7,6,0.1441,11.497,,
7,7,0.35388,28.258,,
7,8,0.14642,9.0477,,
8,1,0.010488,1.8005,0.135613333,11.421
8,2,0.050831,5.282,,
8,3,0.040575,5.8194,,
8,5,0.058122,6.157,,
8,10,0.052754,6.7521,,
8,11,0.12753,11.008,,
8,15,0.3941,27.314,,
8,16,0.10488,10.703,,
8,17,0.38124,27.953,,
9,2,0.043086,4.8594,0.1135715,11.46775
9,6,0.031184,5.2899,,
9,12,0.10558,9.4234,,
9,13,0.22124,20.888,,
9,15,0.079111,9.4671,,
9,19,0.045384,6.1862,,
9,28,0.095707,10.384,,
9,31,0.28728,25.244,,
10,2,0.046187,4.5995,0.1087088,11.97094
10,4,0.028002,4.8333,,
10,15,0.16576,18.38,,
10,19,0.07096,8.1479,,
10,22,0.075965,8.7503,,
10,30,0.18192,18.684,,
10,42,0.18804,20.333,,
10,54,0.071129,9.2889,,
10,62,0.074275,6.3145,,
10,64,0.18485,20.378,,
11,1,0.01506,2.001,0.12761875,12.8203875
11,24,0.063174,7.9371,,
11,54,0.063823,7.9897,,
11,107,0.2157,20.937,,
11,138,0.069793,9.1113,,
11,160,0.10293,11.203,,
11,174,0.24888,23.153,,
11,177,0.24159,20.231,,
12,116,0.44328,29.247,0.18784675,16.18095
12,150,0.090247,9.865,,
12,194,0.14964,16.993,,
12,387,0.06822,8.6188,,
13,140,0.1568,17.5,0.1965835,22.00083333
13,435,0.19425,19.45,,
13,610,0.15151,17.886,,
13,868,0.086551,10.135,,
13,1079,0.18635,20.118,,
13,1213,0.40404,46.916,,
AVERAGE,,0.138212867,12.36617852,,
