Vertex No.,Eigens All,Eigens Correct,Eigens Misclassify,Squared Eigens All,Squared Eigens Correct,Squared Eigens Misclassify
3,0,0,,0,0,
4,0.25,0.25,,6.694,6.694,
5,0.441,0.061,1.2,17.57,4.755,43.2
6,0.505,0.062,1.27,26.684,5.486,64.94
7,0.559,0.182,0.916,35.973,12.681,55.7
8,0.567,0.136,0.955,41.899,11.421,57.201
9,0.565,0.114,2.755,46.704,11.468,264.87
10,0.55,0.109,1.134,48.555,11.971,92.447
11,0.539,0.128,0.821,50.352,12.82,71.858
12,0.526,0.188,1.044,50.937,16.181,86.022
13,0.515,0.197,0.726,51.339,22.001,75.838
AVERAGE,0.523,0.138,1.096,50.577,12.366,82.601
